what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.intro",1324910360346
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1324910360641
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1324910360747
started,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,"org.eclipse.eclipsemonkey.lang.ruby",1324910360773
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1324910361183
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1324910361727
started,bundle,org.rubypeople.rdt.core,1.3.2.1271256971,"org.rubypeople.rdt.core",1324910382897
started,bundle,org.rubypeople.rdt.launching,1.3.0.1271861712,"org.rubypeople.rdt.launching",1324910383077
started,bundle,com.aptana.rdt,1.3.1.1263228620,"com.aptana.rdt",1324910383196
started,bundle,org.radrails.rails.core,1.3.1.1274114871,"org.radrails.rails.core",1324910383207
started,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1260312246,"org.rubypeople.rdt.debug.ui",1324910383403
started,bundle,com.aptana.rdt.ui,1.3.2.1254332735,"com.aptana.rdt.ui",1324910383403
started,bundle,org.rubypeople.rdt.debug.core,1.3.2.1263228620,"org.rubypeople.rdt.debug.core",1324910383406
opened,editor,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.MyRadRailsEditor",1324910384657
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1324910384692
activated,editor,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.MyRadRailsEditor",1324910384723
started,bundle,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui",1324910384723
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324910384769
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1324910385466
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1324910385549
started,bundle,com.aptana.ide.server.ui,2.0.0.1278523018,"com.aptana.ide.server.ui",1324910385597
started,bundle,org.rubypeople.rdt.testunit,1.2.4.1254241359,"org.rubypeople.rdt.testunit",1324910385766
started,bundle,org.radrails.rails.ui,1.3.1.1274114871,"org.radrails.rails.ui",1324910385777
started,bundle,org.radrails.server.ui,1.3.0.1274114871,"org.radrails.server.ui",1324910385802
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1324910385808
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1325238302037
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1325238302038
